Country or Area;Subgroup;Year;Source;Unit;Value;Value Footnotes
El Salvador;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.4;
El Salvador;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.3;
Equatorial Guinea;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;110.8;4
Estonia;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.1;
Estonia;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.0;
Estonia;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.9;
Estonia;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.9;
Estonia;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.5;2
Estonia;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.0;
Estonia;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.4;
Estonia;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.8;20
Estonia;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.3;20
Estonia;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.8;20
Estonia;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.2;20
Estonia;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.5;20
Estonia;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.7;20
Estonia;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.8;20
Estonia;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.9;20
Estonia;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.2;20
Estonia;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;108.8;20
Estonia;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.6;20
Estonia;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;109.0;
Estonia;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;109.6;
Estonia;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;110.3;
Estonia;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;110.8;
Ethiopia;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.2;4
Ethiopia;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.2;4
Ethiopia;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.2;4
Ethiopia;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.1;4
Ethiopia;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.8;4
Ethiopia;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.6;4
Ethiopia;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.4;4
Ethiopia;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.0;4
Ethiopia;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;97.4;4
Ethiopia;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.4;
Falkland Islands;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;75.4;21
Falkland Islands;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;75.8;22
Fiji;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.4;
Fiji;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.4;
Finland;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.7;2
Finland;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.6;23
Finland;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.7;23
Finland;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.8;23
Finland;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;98.9;23
Finland;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.1;23
Finland;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.2;23
Finland;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.3;23
Finland;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.8;23
Finland;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.9;23
Finland;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.1;23
Finland;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.5;2
Finland;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.9;2
France;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.9;24
Gabon;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;109.5;
Georgia;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.0;2
Georgia;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;107.5;2
German Democratic Republic (former);Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.6;25
German Democratic Republic (former);Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.6;25
German Democratic Republic (former);Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.2;25
German Democratic Republic (former);Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.3;25
German Democratic Republic (former);Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.7;25
Ghana;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.2;
Greece;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.1;26
Greenland;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.5;23
Greenland;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.6;23
Greenland;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.8;23
Greenland;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;81.6;23
Greenland;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;83.7;23
Greenland;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;82.2;23
Greenland;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.9;23
Greenland;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.4;23
Greenland;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.3;23
Greenland;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;81.0;23
Guam;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;90.6;3
Guam;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;90.6;3
Guam;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;90.6;3
Honduras;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.3;
Honduras;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;95.5;
Hong Kong SAR;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;89.8;
Hungary;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.5;
Hungary;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.6;
Hungary;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.7;
Hungary;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.1;
Hungary;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.8;
Hungary;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.5;
Hungary;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.4;
Hungary;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.4;
Hungary;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.3;
Hungary;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.3;
Hungary;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.3;
Hungary;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.7;
Hungary;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.0;
Hungary;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;105.0;
Hungary;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.9;
Hungary;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;103.0;
Hungary;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.8;
Hungary;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.1;
Hungary;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.2;
Hungary;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.4;
Hungary;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.4;
Hungary;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;104.3;
Iceland;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;82.4;2
Iceland;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.4;23
Iceland;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.6;23
Iceland;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.6;23
Iceland;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;87.5;23
Iceland;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.5;23
Iceland;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.4;2
Iceland;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;87.1;23
Iceland;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.7;23
Iceland;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.7;23
Iceland;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.4;23
Iceland;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.6;23
Iceland;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.6;23
Iceland;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.6;23
Iceland;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.2;23
Iceland;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.3;2
Iceland;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.8;2
Iceland;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.8;2
Iceland;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;85.9;2
Iceland;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.3;2
India;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;27
India;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;27
India;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.7;27
India;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.6;28
India;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.7;27
India;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.4;27
India;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.1;27
India;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.0;27
India;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.8;27
India;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.6;27
India;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;93.8;28
Indonesia;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.3;29
Indonesia;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.6;30
Indonesia;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.7;31
Iran;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.4;32
Iran;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.5;10
Iran;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;98.4;2
Iran;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.5;10
Iran;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.5;10
Iran;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.4;10
Iran;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.6;2
Iran;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;96.3;
Iraq;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;103.2;33
Iraq;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.1;
Ireland;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.8;
Ireland;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;
Ireland;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;94.3;
Ireland;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.3;
Ireland;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;93.9;
Ireland;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;93.9;
Ireland;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;92.8;
Ireland;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;92.8;
Isle of Man;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;105.4;2
Israel;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.1;34
Israel;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.9;34
Israel;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.9;34
Israel;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;34
Israel;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.7;34
Israel;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.2;34
Israel;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;92.8;34
Israel;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;95.0;34
Israel;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.9;34
Israel;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.8;34
Israel;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.5;34
Israel;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.1;34
Israel;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;94.0;35
Jamaica;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.4;2
Jamaica;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.4;2
Jamaica;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.5;2
Jamaica;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;96.6;2
Jamaica;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.6;2
Jamaica;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;96.6;2
Jamaica;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;86.8;2
Jamaica;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.2;2
Japan;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.5;36
Japan;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.2;36
Japan;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;106.1;36
Japan;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;105.5;36
Jordan;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;93.8;
Jordan;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;90.3;37
Kazakhstan;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.0;
Kazakhstan;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.2;
Kazakhstan;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.2;
Kazakhstan;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.3;
Kazakhstan;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.3;
Kazakhstan;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.3;2
Kazakhstan;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.3;
Kazakhstan;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.1;
Kazakhstan;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.3;
Kazakhstan;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.4;38
Kazakhstan;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.5;38
Kazakhstan;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.5;38
Kazakhstan;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.7;38
Kazakhstan;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.9;38
Kazakhstan;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.2;38
Kazakhstan;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;101.9;
Kazakhstan;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.5;38
Kazakhstan;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.9;
Kazakhstan;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.4;
Kenya;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;111.2;4
Kenya;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;111.4;4
Kenya;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;111.6;4
Kenya;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;111.8;4
Kenya;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;112.0;4
Kenya;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;104.9;
Kiribati;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.5;9
Korea DPR;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;115.2;
Korea Rep;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.7;39
Korea Rep;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;100.8;40
Korea Rep;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;98.9;40
Korea Rep;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;97.9;40
Kyrgyzstan;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;98.8;
Kyrgyzstan;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.0;
Kyrgyzstan;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.1;
Kyrgyzstan;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.1;
Kyrgyzstan;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.2;
Kyrgyzstan;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;99.2;2
Kyrgyzstan;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.4;
Kyrgyzstan;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.5;
Kyrgyzstan;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.6;
Kyrgyzstan;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.7;
Kyrgyzstan;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;99.9;
Kyrgyzstan;Rural;1994;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.1;
Kyrgyzstan;Rural;1993;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.3;
Kyrgyzstan;Rural;1992;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.4;
Kyrgyzstan;Rural;1991;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;100.7;
Kyrgyzstan;Rural;1990;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.0;
Kyrgyzstan;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;101.4;2
Kyrgyzstan;Rural;1989;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.3;
Kyrgyzstan;Rural;1988;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;101.7;
Kyrgyzstan;Rural;1987;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.1;
Kyrgyzstan;Rural;1986;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.5;
Kyrgyzstan;Rural;1985;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;102.8;
Latvia;Rural;2004;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.5;2
Latvia;Rural;2003;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;106.9;2
Latvia;Rural;2002;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.3;2
Latvia;Rural;2001;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.5;2
Latvia;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Census figure);Women per 100 men;107.9;2
Latvia;Rural;2000;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;107.8;2
Latvia;Rural;1999;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.0;2
Latvia;Rural;1998;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;108.9;2
Latvia;Rural;1997;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;109.9;2
Latvia;Rural;1996;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;110.1;2
Latvia;Rural;1995;UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate);Women per 100 men;110.3;2
